,RunId,iteration,Step,collapse_dict,step,avg_delay,avg_driving_time
0,0,0,0,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",0,0.0,0.0
1,0,0,7200,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",7200,26.8037226097181,6955.777777777777
2,1,1,0,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",0,0.0,0.0
3,1,1,7200,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",7200,27.75410471923073,6917.382352941177
4,2,2,0,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",0,0.0,0.0
5,2,2,7200,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",7200,28.09115627889492,6970.25
6,3,3,0,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",0,0.0,0.0
7,3,3,7200,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",7200,27.686925394900786,6942.214285714285
8,4,4,0,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",0,0.0,0.0
9,4,4,7200,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",7200,27.460665424491907,6956.75
10,5,5,0,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",0,0.0,0.0
11,5,5,7200,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",7200,27.736224203201534,6917.815789473684
12,6,6,0,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",0,0.0,0.0
13,6,6,7200,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",7200,27.310307112603486,6963.085714285714
14,7,7,0,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",0,0.0,0.0
15,7,7,7200,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",7200,27.008382601839443,6927.592592592592
16,8,8,0,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",0,0.0,0.0
17,8,8,7200,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",7200,27.12083037987921,6939.535714285715
18,9,9,0,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",0,0.0,0.0
19,9,9,7200,"{'A': 0.1, 'B': 0.2, 'C': 0.4, 'D': 0.8}",7200,27.610316395246716,6929.3125
