,RunId,iteration,Step,collapse_dict,step,avg_delay,avg_driving_time
0,0,0,0,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
1,0,0,7200,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,15.435300886813721,4031.1911532385466
2,1,1,0,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
3,1,1,7200,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,14.361871257414984,4025.172741679873
4,2,2,0,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
5,2,2,7200,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,14.35317769144283,4032.5347003154575
6,3,3,0,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
7,3,3,7200,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,15.378935153563893,4029.281399046105
8,4,4,0,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
9,4,4,7200,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,15.355986295071943,4027.2432859399682
10,5,5,0,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
11,5,5,7200,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,15.61947705165575,4020.8009404388713
12,6,6,0,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
13,6,6,7200,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,15.045852808532404,4030.9701257861634
14,7,7,0,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
15,7,7,7200,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,15.331021093569195,4014.96214511041
16,8,8,0,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
17,8,8,7200,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,16.512583899645616,4026.5323854660346
18,9,9,0,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
19,9,9,7200,"{'A': 0, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,14.499483257640462,4023.804761904762
