,RunId,iteration,Step,collapse_dict,step,avg_delay,avg_driving_time
0,0,0,0,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
1,0,0,7200,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",7200,7.247208579404362,2235.93661971831
2,1,1,0,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
3,1,1,7200,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",7200,6.713736360281825,2239.9455095862763
4,2,2,0,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
5,2,2,7200,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",7200,6.966570392906902,2238.2291457286433
6,3,3,0,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
7,3,3,7200,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",7200,7.128178572325915,2240.8107287449393
8,4,4,0,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
9,4,4,7200,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",7200,6.6050674206934605,2237.4506048387098
10,5,5,0,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
11,5,5,7200,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",7200,7.437060307563079,2235.8212851405624
12,6,6,0,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
13,6,6,7200,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",7200,7.5167221998746285,2237.0363269424824
14,7,7,0,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
15,7,7,7200,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",7200,7.645541006684938,2237.43087790111
16,8,8,0,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
17,8,8,7200,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",7200,6.697509965547727,2235.9545454545455
18,9,9,0,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
19,9,9,7200,"{'A': 0.0, 'B': 0.0, 'C': 0.1, 'D': 0.2}",7200,6.626500510621708,2235.1434343434344
