,road,km,type,name,length,condition,lat,lon,model_type
517,N1,141.531,Box Culvert,FATAPUR BOX CULVERT,10.8,A,23.0379728055555,91.3656784724359,bridge
518,N1,138.953,Box Culvert,MOHAMMAD ALI MAZAR,4.0,B,23.0607473333333,91.3618624619047,bridge
519,N1,137.856,Box Culvert,DUTHOSHA BOX CULVERT,6.1,B,23.070198184,91.3603022,bridge
520,N1,136.899,Box Culvert,KOKALI BOX CULVERT,14.2,B,23.0779647046997,91.3566005031331,bridge
521,N1,136.375,Box Culvert,UTTOR KAIEATI CULVERT,3.5,A,23.0819909531309,91.3541811474383,bridge
522,N1,135.723,Box Culvert,FOEALTPARA BOX CULVERT,9.25,B,23.0870753710144,91.3512101492753,bridge
523,N1,134.974,Box Culvert,PODOYA BOX CULVERT,3.1,A,23.0930298369186,91.3478308386627,bridge
524,N1,134.426,Box Culvert,ADONCORA,9.5,B,23.0973512527272,91.3454956309091,bridge
525,N1,133.873,Box Culvert,CHANGARPULL(II BOX CULVERT,3.1,B,23.1017563206521,91.343162998913,bridge
526,N1,133.155,Box Culvert,Chanara Box Culvert,6.1,A,23.1074284451388,91.3400495436111,bridge
527,N1,132.079,Box Culvert,KAKKARA CULVERT,5.3,B,23.1158251554,91.335094485,bridge
528,N1,131.577,Slab Culvert,FOKIR BAZAR SLAB CULVERT,4.5,B,23.1196973774193,91.3328165129032,bridge
529,N1,130.912,Box Culvert,HASO BOTHACH BOX CULVERT,6.5,A,23.1252363577777,91.3303863688888,bridge
530,N1,129.955,Box Culvert,JAGOT PUR BOX CULVERT,3.0,B,23.1332639685968,91.327546416481,bridge
531,N1,129.291,Box Culvert,JAGARNATHPUR BOX CULVERT,6.1,B,23.1389893200345,91.3263585348877,bridge
532,N1,128.767,Box Culvert,DIMATOLY (2 BOX CULVERT,3.5,B,23.1436667679334,91.3266680470308,bridge
533,N1,127.673,Box Culvert,DIMATOLI (1 BOX CULVERT,6.3,B,23.1527364949367,91.3243178772152,bridge
534,N1,126.448,Box Culvert,ANDAJER BAZER BOX CULVERT,9.5,A,23.1635138669191,91.3215889464646,bridge
535,N1,125.41,Box Culvert,NANKORA BOX CULVERT,3.1,B,23.1726272318681,91.3205774642857,bridge
536,N1,124.346,Box Culvert,BASHONTA PUR (2,9.5,B,23.1817958149837,91.3208787514658,bridge
537,N1,123.681,Box Culvert,BOSONTA PUR BOX CULVERT,6.1,C,23.1874350254302,91.3209051317399,bridge
538,N1,122.603,Box Culvert,ATTOCK GRAM BOX CULVERT,6.1,A,23.1961887953757,91.3176705069364,bridge
539,N1,121.567,Box Culvert,FALGUNCORA CULVERT,6.1,A,23.2050386287937,91.3163167282749,bridge
540,N1,120.634,Box Culvert,HAYDAR POLE BOX CULVERT,14.3,B,23.2131955721448,91.3153497403899,bridge
541,N1,119.628,Box Culvert,CHADDAGRAM BAZAR BOX CULVERT,6.0,A,23.2220338977777,91.3137005933333,bridge
542,N1,119.19,Box Culvert,CHAUDDAGARAM BOX CULVERT,2.6,B,23.2259184472573,91.3135697177215,bridge
543,N1,118.856,Box Culvert,KALIA BAZER BOC CULVERT,3.1,B,23.2289195919642,91.3134220678571,bridge
544,N1,118.049,Box Culvert,KALIR BAZAR BOX CULVERT,2.5,A,23.2360759516523,91.3129901976744,bridge
545,N1,117.627,Box Culvert,BALUZURI 2 CULVERT,2.6,A,23.2397920309669,91.3125740860465,bridge
546,N1,117.269,Box Culvert,BALUJURI BOX CULVERT,19.2,B,23.2429040619631,91.3119739539877,bridge
547,N1,117.087,Box Culvert,SONAGATI BOX CULVERT,2.5,B,23.2443915125925,91.3114032292592,bridge
548,N1,116.074,Box Culvert,HARISHARDE CULVERT,4.5,B,23.2527463398104,91.3083926405213,bridge
549,N1,115.525,Box Culvert,NOWA PARA BOX CULVERT,3.6,B,23.2576429774881,91.3076156494075,bridge
550,N1,115.326,Slab Culvert,RANGOWATIA 2 CULVERT,3.0,B,23.25941665,91.3073611,bridge
551,N1,115.052,Box Culvert,RANGAMATIA (1 BOX CULVERT,3.0,B,23.2618360940594,91.3070217386138,bridge
552,N1,113.717,Box Culvert,AMAN GONG SLAB CULVERT,6.3,B,23.27301895,91.3029661882,bridge
553,N1,112.469,Box Culvert,BOWCHI BAZAR CULVERT,4.6,B,23.2821949258397,91.2966655096899,bridge
554,N1,111.509,Box Culvert,SUPUYA BOX CULVERT,13.4,A,23.2897066386454,91.2929584711155,bridge
555,N1,110.551,Box Culvert,LALGORE BEZER CULVERT,3.2,A,23.2979675271676,91.2910141369942,bridge
556,N1,109.897,Slab Culvert,DHARMA PUR SLAB CULVERT,2.6,B,23.3034306450331,91.2889770397351,bridge
557,N1,109.289,Box Culvert,DOLL BARI CULVERT,19.2,B,23.3083612731261,91.2865787034735,bridge
558,N1,108.125,Box Culvert,NOYA BAZER BOX CULVERT,9.2,A,23.3180696869138,91.2830867321701,bridge
559,N1,106.519,Box Culvert,MIABAZAR BOX CULVERT,24.0,A,23.3301462324,91.2748792824,bridge
560,N1,104.753,Box Culvert,CHANSIRI BOXCUIVERT,14.3,A,23.342671472,91.264485636,bridge
561,N1,103.456,RCC Girder Bridge,LAL BAG RCC GIDER BRIDGE,22.8,C,23.3521636774381,91.2572910746724,bridge
562,N1,100.938,RCC Girder Bridge,Suagazi Bridge.,30.48,A,23.3713647755,91.2450175414999,bridge
563,N1,97.257,RCC Girder Bridge,Matigara Bridge,27.35,C,23.3976518197887,91.2234221346859,bridge
564,N1,93.6,RCC Girder Bridge,Mostapur Bridge,27.35,C,23.4119324230158,91.1939029849206,bridge
565,N1,91.092,RCC Girder Bridge,Paduar Bazar Bridge,35.97,C,23.4212487704918,91.1678943372365,bridge
566,N1,87.713,RCC Girder Bridge,Dhanpur Bridge,22.85,C,23.4436339598272,91.1493668151188,bridge
567,N1,82.989,Slab Culvert,AMTOLI SLAB CULVERT,2.9,A,23.479544924,91.129047144,bridge
568,N1,82.437,Box Culvert,TIPRA BAZAR BOX CULVERT,1.4,A,23.4794083880733,91.1238920825688,bridge
569,N1,80.949,Box Culvert,NAZIRA BOX CULVERT,3.0,B,23.4781159049382,91.1070332074074,bridge
570,N1,78.382,Slab Culvert,KABILA DUBARCHAR SLAB CULVERT,1.0,C,23.4776722851,91.0847406393,bridge
571,N1,76.481,Slab Culvert,NIMSHAR SLAB CULVERT,1.5,A,23.480613086,91.0674097692,bridge
572,N1,75.312,Box Culvert,COREPAI BOX CULVERT,4.6,B,23.4817498298684,91.0563549686842,bridge
573,N1,74.279,Box Culvert,CORI PAI BOX CULVERT,4.6,B,23.4817873233065,91.0463348850746,bridge
574,N1,71.156,RCC Girder Bridge,Chandinan-Shahapara Bridge.,22.55,C,23.4868805937254,91.017566692647,bridge
575,N1,68.04,Box Culvert,MILL GHAT BOX CULVERT,4.5,A,23.4932728146,90.9887200416,bridge
576,N1,66.178,Slab Culvert,KARON KHAL SLAB CULVERT,4.6,B,23.495896314,90.9715772516,bridge
577,N1,63.538,Box Culvert,SONAPUR BOX CULVERT,3.0,A,23.5013551924,90.9473844088999,bridge
578,N1,63.098,Slab Culvert,MATIA BAZER,6.0,B,23.5024077848,90.9432418928,bridge
579,N1,60.83,Box Culvert,BAKRA BOX CULVERT,3.0,B,23.5056131416,90.9214660218,bridge
580,N1,58.838,Box Culvert,KHAT GHOR BOX CULVERT,5.9,B,23.5060024341,90.9021745389,bridge
581,N1,56.006,RCC Girder Bridge,Illiot bazar Bridge,28.9,C,23.510087758207,90.8757204035353,bridge
582,N1,52.313,Box Culvert,AITAL BANGA BOX CULVERT,4.5,C,23.5229166652,90.8442186132,bridge
583,N1,50.558,Box Culvert,RAIPUR BOX CULVERT,12.2,A,23.5329743291,90.8309774761999,bridge
584,N1,48.384,RCC Bridge,Ginlatoly,15.9,C,23.5318234765,90.8110155135,bridge
585,N1,46.871,Slab Culvert,AMIRABATH SLAB CULVERT,6.5,C,23.5308683409424,90.7918075171727,bridge
586,N1,45.164,Box Culvert,SARKAR BARI CULVERT,3.9,C,23.5307655282208,90.7800797251533,bridge
587,N1,42.936,RCC Girder Bridge,Shahid Nagor Bridge,16.5,C,23.5298050611,90.75825325,bridge
588,N1,39.86,Box Culvert,MAIS PARA BOX CULVERT,6.0,B,23.5317587831999,90.7291780095,bridge
589,N1,39.304,RCC Girder Bridge,BALDHA KHAL RCC GIDER BRIDGE,21.8,C,23.5324186,90.7242807234,bridge
590,N1,37.01,PC Box,Daud Kandi Bridge,1408.8,C,23.5303844733,90.7024402743,bridge
591,N1,35.707,Box Culvert,CHAR BOUSHEA (2,8.4,A,23.5301519626506,90.6897951837349,bridge
592,N1,35.408,RCC Girder Bridge,CHAR BOWSHIA BRIDGE(R,24.5,B,23.5313996605222,90.68744892596,bridge
593,N1,35.408,PC Girder Bridge,BORAKANDI BRIDGE(L,24.5,B,23.5313996605222,90.68744892596,bridge
594,N1,35.181,Box Culvert,.,9.5,A,23.5327751898617,90.6858701078341,bridge
595,N1,34.111,Box Culvert,BOCTAR KANDI BOX CULVERT,5.1,C,23.5393910168,90.6784577888,bridge
596,N1,32.796,Box Culvert,NOYAPARA,5.2,A,23.5476246437499,90.669192065625,bridge
597,N1,32.777,Box Culvert,PURRANBUICHE BOX CULVERT,9.1,A,23.5477377446428,90.6690554098214,bridge
598,N1,30.908,PC Girder Bridge,ALIPURA BRIDGE (L,26.3,B,23.5591910296296,90.6557475703703,bridge
599,N1,29.842,Box Culvert,VITIKANDA - ANAR PUR CULVERT,34.7,A,23.5660033956521,90.6486237247282,bridge
600,N1,28.315,PC Girder Bridge,BHATIR CHAR BRIDGE,163.5,A,23.5779800248475,90.6419193089939,bridge
601,N1,27.12,Box Culvert,MALUAKANDI CULVEDRT,5.6,A,23.58631812254,90.6345094207093,bridge
602,N1,26.452,Box Culvert,BAILAKANDI CULVERT,5.5,A,23.5908088547468,90.6302368598101,bridge
603,N1,26.115,Box Culvert,TATULTALA CULVERT,5.6,A,23.5929818827893,90.6279699370919,bridge
604,N1,24.393,PC Box,MEGHNA BRIDGE,900.0,C,23.6027595885583,90.6155316965675,bridge
605,N1,23.081,PC Girder Bridge,ASHIR CHAR (R,116.8,B,23.613587384385,90.6109029561497,bridge
606,N1,22.596,PC Girder Bridge,Ashariarchar Bridge(R,224.82,B,23.6176407964705,90.6095506105882,bridge
607,N1,22.328,Box Culvert,SANGAKADI CULVERT,5.5,B,23.6198832229508,90.6083528852459,bridge
608,N1,21.184,PC Girder Bridge,MARIKHALL BRIDGE,89.2,A,23.6284668507692,90.6023015723077,bridge
609,N1,20.397,Box Culvert,SHADIPUR BOX CULVERT,10.4,B,23.63380522,90.597394085,bridge
610,N1,19.76,Box Culvert,KRIBORDI BOX CULVERT,6.0,A,23.6379543715384,90.5936673976923,bridge
611,N1,18.742,PC Girder Bridge,MOLLIK PARA BRIDGE (R,40.5,C,23.6459685949152,90.5892119813559,bridge
612,N1,18.093,PC Girder Bridge,SONARKALI BRIDGE(L,24.5,B,23.6497543993548,90.5845490085483,bridge
613,N1,17.722,PC Girder Bridge,DARIKANDI BRIDGE (R,20.0,B,23.6515705663716,90.5814943946902,bridge
614,N1,17.722,PC Girder Bridge,DARIKANDI BRIDGE (L,20.0,B,23.6515705663716,90.5814943946902,bridge
615,N1,17.222,PC Girder Bridge,Darikandi Bridge (R,20.45,A,23.65397226,90.57741042,bridge
616,N1,17.222,PC Girder Bridge,Darikandi Bridge (L,20.5,A,23.65397226,90.57741042,bridge
617,N1,17.134,RCC Girder Bridge,Langalbandh Bridge.,159.52,C,23.6544257051136,90.576730225,bridge
618,N1,15.465,Box Culvert,MALIBAG BOX CULVERT,5.55,B,23.6633090696149,90.563856994797,bridge
619,N1,13.574,Box Culvert,KAWTALA BOX CULVERT,11.9,A,23.6778035,90.5558194349999,bridge
620,N1,12.688,PC Girder Bridge,Madanpur Bridge(R,27.5,A,23.6853619779342,90.5513591765258,bridge
621,N1,12.66,PC Girder Bridge,MADAN PUR (R,26.3,A,23.685583027027,90.551207981081,bridge
622,N1,12.66,PC Girder Bridge,Madanpur Bridge.(L,27.5,A,23.685583027027,90.551207981081,bridge
623,N1,12.253,Box Culvert,DAWAN BAG BOX CULVERT,6.1,A,23.6883197331632,90.548649807653,bridge
624,N1,12.239,Box Culvert,KHAS PARA BOX CULVERT,9.3,A,23.6884123260204,90.5485585290816,bridge
625,N1,11.808,Box Culvert,NAYABARI BOX CULVERT,10.6,B,23.6909119315151,90.5454624957575,bridge
626,N1,11.296,Box Culvert,NAYABARI KASPUR BOX CULVERT,8.3,A,23.6923601518691,90.5409183897196,bridge
627,N1,10.897,Box Culvert,ADUPUR CULVERT,6.3,A,23.6943023869158,90.5377073719626,bridge
628,N1,10.88,Box Culvert,NOYAPARA CULVERT,6.3,A,23.6943906141361,90.5375740774869,bridge
629,N1,10.543,Box Culvert,KATCHPUR BOX CULVERT,8.0,B,23.6964000869109,90.5350989801047,bridge
630,N1,8.976,PC Girder Bridge,KANCHPUR PC GIRDER BRIDGE,397.0,C,23.7050598925675,90.5232141463513,bridge
631,N1,4.925,Box Culvert,.,6.6,A,23.6946638363636,90.4877749181818,bridge
632,N1,1.8,Box Culvert,.,11.3,A,23.69873866,90.4588610799999,bridge
633,N1,0.0,sink,sink,0.0,A,23.7060278,90.443333,sink
