,Unnamed: 0,road,km,type,name,length,condition,lat,lon,model_type,id
655,328.0,N1,313.947,Box Culvert,AZIZNAGOR BOX CULVERT,2.0,A,21.9179119605128,92.0597362988034,bridge,655
656,,N1,313.278,link,link,1341.0,A,21.9241466052564,92.0597101681517,link,656
657,329.0,N1,312.609,Box Culvert,AZIZ NOGOR FOREST BOX CULVERT,4.7,A,21.93038125,92.0596840375,bridge,657
658,,N1,312.4815,link,link,260.0,A,21.931344961305697,92.06024249773085,link,658
659,330.0,N1,312.354,Box Culvert,AZIZNAGOR FOREST BOX CULVERT,4.5,A,21.9323086726114,92.0608009579617,bridge,659
660,,N1,312.246,link,link,223.0,A,21.93312705705665,92.0612335560559,link,660
661,331.0,N1,312.138,Box Culvert,BACK FILD BOX CULVERT,9.3,A,21.9339454415019,92.0616661541501,bridge,661
662,,N1,312.012,link,link,259.0,A,21.9349872284745,92.06210443886366,link,662
663,332.0,N1,311.886,Box Culvert,BRICK FIELD BOX CULVERT,4.5,A,21.9360290154471,92.0625427235772,bridge,663
664,,N1,311.3045,link,link,1166.0,A,21.940714193732198,92.0647356922658,link,664
665,333.0,N1,310.723,Box Culvert,SANTI BOX CULVERT,1.4,A,21.9453993720173,92.0669286609544,bridge,665
666,,N1,310.347,link,link,764.0,A,21.948739456354097,92.06737123469985,link,666
667,334.0,N1,309.971,RCC Girder Bridge,Santi Bridge,22.3,B,21.9520795406909,92.0678138084453,bridge,667
668,,N1,309.663,link,link,629.0,A,21.9550558521636,92.06710354513174,link,668
669,335.0,N1,309.355,Box Culvert,BON PUKUL PARA BOX CULVERT,3.0,A,21.9580321636363,92.0663932818182,bridge,669
670,,N1,309.1965,link,link,323.0,A,21.9586361374633,92.06583620582845,link,670
671,336.0,N1,309.038,Box Culvert,BONPUKR PARA BOX CULVERT,8.2,A,21.9592401112903,92.0652791298387,bridge,671
672,,N1,308.845,link,link,401.0,A,21.960726984272597,92.06429800315459,link,672
673,337.0,N1,308.652,RCC Girder Bridge,Rataykul Bridge,22.4,A,21.9622138572549,92.0633168764705,bridge,673
674,,N1,308.3165,link,link,683.0,A,21.96558598846785,92.0637334940863,link,674
675,338.0,N1,307.981,Box Culvert,AODU NAGOR (2 BOX CULVERT,1.5,A,21.9689581196808,92.0641501117021,bridge,675
676,,N1,307.605,link,link,754.0,A,21.9714132613153,92.0662352953299,link,676
677,339.0,N1,307.229,Box Culvert,MUSKAMPANI PARA BOX CULVERT,2.5,A,21.9738684029498,92.0683204789577,bridge,677
678,,N1,306.68399999999997,link,link,1093.0,A,21.9765834886094,92.07208485263669,link,678
679,340.0,N1,306.139,Box Culvert,SHIX DAR PARA BOX CULVERT,3.5,A,21.979298574269,92.0758492263157,bridge,679
680,,N1,305.9665,link,link,356.0,A,21.9798804688274,92.0773604267405,link,680
681,341.0,N1,305.794,Box Culvert,HATIAR PULL BOX CULVERT,18.7,A,21.9804623633858,92.0788716271653,bridge,681
682,,N1,305.66049999999996,link,link,288.0,A,21.98118320357965,92.07982247679016,link,682
683,342.0,N1,305.527,RCC Girder Bridge,Hatirpul Bridge,22.4,B,21.9819040437735,92.080773326415,bridge,683
684,,N1,305.192,link,link,692.0,A,21.9844724589557,92.08238384596609,link,684
685,343.0,N1,304.857,RCC Girder Bridge,Adunagar Bridge,22.0,B,21.9870408741379,92.0839943655172,bridge,685
686,,N1,304.653,link,link,426.0,A,21.988660559256452,92.0848401658836,link,686
687,344.0,N1,304.449,Box Culvert,ZADUNAGOR BUS STATION BOX CULVERT,14.2,A,21.990280244375,92.08568596625,bridge,687
688,,N1,304.33299999999997,link,link,268.0,A,21.991256841542302,92.0860220868116,link,688
689,345.0,N1,304.217,PC Girder Bridge,KHASMOHAL ADUNAICR PC GIDER BRIDGE,58.8,A,21.9922334387096,92.0863582073732,bridge,689
690,,N1,304.005,link,link,460.0,A,21.99398722045165,92.0869021359535,link,690
691,346.0,N1,303.793,Box Culvert,ZADUNAPUR SHAPIR FILLING STATION -(2 BOX CULVERT,12.4,A,21.9957410021937,92.0874460645338,bridge,691
692,,N1,303.7875,link,link,19.0,A,21.995788483180903,92.087452488574,link,692
693,347.0,N1,303.782,Box Culvert,ZADUNAGOR FILLING BOX CULVERT,3.0,A,21.9958359641681,92.0874589126142,bridge,693
694,,N1,303.5095,link,link,550.0,A,21.99813280208405,92.0878891446404,link,694
695,348.0,N1,303.237,Box Culvert,DIGIRPAR BOX CULVERT,6.2,A,22.00042964,92.0883193766666,bridge,695
696,,N1,302.983,link,link,517.0,A,22.002301126989202,92.0894440056451,link,696
697,349.0,N1,302.729,Box Culvert,DIGIRPARK BOX CULVERT,12.6,A,22.0041726139784,92.0905686346236,bridge,697
698,,N1,302.483,link,link,500.0,A,22.005996332150453,92.09167260795695,link,698
