,RunId,iteration,Step,collapse_dict,step,avg_delay,avg_driving_time
0,0,0,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0,0.0,0.0
1,0,0,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",7200,0.4871564987511502,513.507105459985
2,1,1,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0,0.0,0.0
3,1,1,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",7200,0.5187247961890379,510.82959641255604
4,2,2,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0,0.0,0.0
5,2,2,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",7200,0.541182718428717,512.875280059746
6,3,3,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0,0.0,0.0
7,3,3,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",7200,0.5549042555716622,512.2026925953628
8,4,4,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0,0.0,0.0
9,4,4,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",7200,0.6565553085388688,515.3360778443114
10,5,5,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0,0.0,0.0
11,5,5,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",7200,0.5289848220900825,513.2799401197605
12,6,6,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0,0.0,0.0
13,6,6,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",7200,0.6071996033695305,510.59940209267563
14,7,7,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0,0.0,0.0
15,7,7,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",7200,0.5285914712409234,512.352501867065
16,8,8,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0,0.0,0.0
17,8,8,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",7200,0.5950671909519619,512.7333333333333
18,9,9,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0,0.0,0.0
19,9,9,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",7200,0.6889091040737757,512.2320359281437
