,RunId,iteration,Step,collapse_dict,step,avg_delay,avg_driving_time
0,0,0,0,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
1,0,0,7200,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",7200,15.20200113012163,4008.14126984127
2,1,1,0,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
3,1,1,7200,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",7200,15.062847811483307,4011.1355140186915
4,2,2,0,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
5,2,2,7200,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",7200,15.40936476869963,4002.264150943396
6,3,3,0,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
7,3,3,7200,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",7200,15.145825606784374,4001.0714285714284
8,4,4,0,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
9,4,4,7200,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",7200,14.547268345639575,3987.153846153846
10,5,5,0,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
11,5,5,7200,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",7200,15.508328515754366,4006.1041009463725
12,6,6,0,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
13,6,6,7200,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",7200,15.402268990634287,4000.3175355450235
14,7,7,0,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
15,7,7,7200,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",7200,14.970070207663465,3996.6825396825398
16,8,8,0,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
17,8,8,7200,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",7200,13.50527763620627,3998.87284144427
18,9,9,0,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",0,0.0,0.0
19,9,9,7200,"{'A': 0.0, 'B': 0.05, 'C': 0.1, 'D': 0.2}",7200,16.427793345508935,4012.1637519872816
