,RunId,iteration,Step,collapse_dict,step,avg_delay,avg_driving_time
0,0,0,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0,0,0.0
1,0,0,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",7200,0,373.0
2,1,1,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0,0,0.0
3,1,1,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",7200,0,373.0
4,2,2,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0,0,0.0
5,2,2,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",7200,0,373.0
6,3,3,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0,0,0.0
7,3,3,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",7200,0,373.0
8,4,4,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0,0,0.0
9,4,4,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",7200,0,373.0
10,5,5,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0,0,0.0
11,5,5,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",7200,0,373.0
12,6,6,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0,0,0.0
13,6,6,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",7200,0,373.0
14,7,7,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0,0,0.0
15,7,7,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",7200,0,373.0
16,8,8,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0,0,0.0
17,8,8,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",7200,0,373.0
18,9,9,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0,0,0.0
19,9,9,7200,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",7200,0,373.0
