,RunId,iteration,Step,collapse_dict,step,avg_delay,avg_driving_time
0,0,0,0,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
1,0,0,7200,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,26.020223688132273,6922.333333333333
2,1,1,0,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
3,1,1,7200,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,26.793142345838973,6922.318181818182
4,2,2,0,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
5,2,2,7200,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,26.731258566939978,6884.580645161291
6,3,3,0,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
7,3,3,7200,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,26.629337036057297,6887.189189189189
8,4,4,0,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
9,4,4,7200,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,27.817543750812188,6868.657142857143
10,5,5,0,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
11,5,5,7200,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,27.832212486692733,6883.767441860465
12,6,6,0,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
13,6,6,7200,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,27.751674924441833,6929.4838709677415
14,7,7,0,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
15,7,7,7200,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,27.558426293839677,6906.1
16,8,8,0,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
17,8,8,7200,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,27.356914456063006,6889.051282051282
18,9,9,0,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",0,0.0,0.0
19,9,9,7200,"{'A': 0.05, 'B': 0.1, 'C': 0.2, 'D': 0.4}",7200,27.604915992916993,6903.216216216216
